Designator,Mid X,Mid Y,Layer,Rotation
"C1",29.8000,60.1000,top,0.0000
"C2",29.8000,57.0000,top,0.0000
"C3",29.6000,63.8000,top,0.0000
"C4",16.0500,62.1000,top,0.0000
"C5",18.4500,61.9800,top,90.0000
"C11",43.2000,52.4000,top,90.0000
"C12",38.0500,50.3000,top,-90.0000
"C13",40.4500,50.3000,top,90.0000
"C14",33.7000,33.6000,top,-90.0000
"C15",38.1000,32.7000,top,-90.0000
"C16",20.7500,57.0000,top,0.0000
"C17",28.0000,41.8000,top,180.0000
"C18",35.4000,50.3000,top,90.0000
"C19",36.0000,38.0000,top,-90.0000
"C20",37.0000,38.0000,top,-90.0000
"C21",34.4000,50.3000,top,90.0000
"C22",29.4500,46.9000,top,180.0000
"C23",39.2500,49.7000,top,90.0000
"C24",40.6500,42.4000,top,0.0000
"C25",20.6200,42.0625,top,180.0000
"C26",19.7750,36.8625,top,180.0000
"C27",21.6000,19.2000,top,180.0000
"C28",20.7000,18.0000,top,180.0000
"C29",26.2000,26.2000,top,90.0000
"C30",25.0000,26.8000,top,90.0000
"C31",33.0000,15.2000,top,-90.0000
"C32",34.2000,14.6000,top,-90.0000
"C33",3.8000,38.4000,top,-90.0000
"C34",9.6000,40.0000,top,90.0000
"C35",17.4000,22.4000,top,-90.0000
"C36",18.6000,22.7000,top,-90.0000
"C37",48.9000,33.9000,top,180.0000
"C38",19.4800,20.8000,top,180.0000
"C39",19.0000,19.6000,top,180.0000
"C40",21.0000,22.4000,top,-90.0000
"C41",35.0000,19.2000,top,0.0000
"C42",23.8000,26.2000,top,90.0000
"C43",18.2000,15.0000,top,-90.0000
"C44",46.3500,33.9000,top,0.0000
"C45",45.8000,27.4000,top,0.0000
"C46",9.3500,4.9000,top,-90.0000
"C47",6.2000,46.4000,top,90.0000
"C48",17.5000,8.9000,top,0.0000
"C49",40.2000,9.2000,top,0.0000
"C50",45.3000,50.4000,top,-90.0000
"C51",17.4250,7.1000,top,0.0000
"C52",40.1000,7.4000,top,0.0000
"D1",38.3500,55.5600,top,180.0000
"D2",35.3500,55.5600,top,0.0000
"D3",44.6000,43.2000,top,0.0000
"D4",22.4000,39.9625,top,90.0000
"D7",11.2000,6.4500,top,-90.0000
"D8",3.7100,54.5000,top,0.0000
"D9",3.6100,59.9000,top,0.0000
"D10",3.7000,57.2000,top,0.0000
"F1",29.6000,61.8000,top,180.0000
"FB1",29.8000,58.6000,top,180.0000
"FID1",2.5000,63.5000,top,90.0000
"FID2",52.0000,33.5000,top,0.0000
"FID3",10.5000,1.5000,top,0.0000
"J4",37.0000,62.5000,top,180.0000
"Q1",3.9100,51.8000,top,90.0000
"R1",40.4500,55.4000,top,-90.0000
"R2",32.3500,55.4000,top,-90.0000
"R4",42.2000,52.4000,top,-90.0000
"R5",20.6500,46.6000,top,0.0000
"R6",42.2500,53.9000,top,180.0000
"R7",20.0500,53.0000,top,90.0000
"R8",44.3125,44.5000,top,0.0000
"R9",45.8000,40.5000,top,90.0000
"R10",35.6000,36.6000,top,180.0000
"R11",24.9500,46.6000,top,180.0000
"R12",22.6500,57.0000,top,0.0000
"R13",26.9500,57.0000,top,180.0000
"R14",22.5500,46.6000,top,0.0000
"R15",24.9500,57.0000,top,180.0000
"R16",37.2900,20.5000,top,180.0000
"R17",19.8000,22.7000,top,90.0000
"R18",30.6000,26.8000,top,-90.0000
"R19",30.0000,33.5000,top,90.0000
"R20",44.4500,33.9000,top,0.0000
"R21",43.9100,27.4000,top,0.0000
"R22",42.5500,33.9000,top,180.0000
"R23",42.0100,27.4000,top,180.0000
"R24",21.8000,16.8000,top,0.0000
"R25",9.5000,7.6000,top,90.0000
"R26",11.1000,8.5000,top,180.0000
"R27",11.1000,4.6500,top,180.0000
"R28",6.2000,42.5000,top,90.0000
"R29",6.2000,44.5000,top,90.0000
"R30",4.1100,58.6000,top,180.0000
"R31",4.0000,56.0000,top,0.0000
"R32",3.5100,49.3375,top,180.0000
"R33",6.1100,52.8000,top,90.0000
"R34",2.5000,31.0000,top,0.0000
"R35",2.5000,28.4571,top,0.0000
"R36",2.5000,25.9143,top,0.0000
"R37",2.5000,23.3714,top,0.0000
"R38",2.5000,20.8286,top,0.0000
"R39",2.5000,18.2857,top,0.0000
"R40",2.5000,15.7429,top,0.0000
"R41",2.5000,13.2000,top,0.0000
"R42",47.0122,24.9622,top,-90.0000
"R43",48.5122,24.9622,top,-90.0000
"R44",47.0122,9.1522,top,90.0000
"R45",44.0122,9.1522,top,90.0000
"R46",42.5122,9.1522,top,90.0000
"R47",44.0122,24.9622,top,-90.0000
"R48",42.5122,24.9622,top,-90.0000
"R49",48.5122,9.1522,top,90.0000
"R50",11.8000,57.8000,top,-90.0000
"SW1",48.5000,54.5000,top,0.0000
"SW2",17.0000,49.5000,top,-90.0000
"SW3",45.8000,37.0000,top,0.0000
"SW4",45.8000,30.5000,top,0.0000
"SW5",9.0000,46.0000,top,-90.0000
"SW6",10.5000,23.5000,top,0.0000
"U1",23.3500,61.2000,top,180.0000
"U2",44.2000,61.3000,top,0.0000
"U3",45.5000,17.0000,top,90.0000
"U4",35.0000,43.5000,top,0.0000
"U5",23.7500,51.8000,top,90.0000
"U6",6.6000,38.4000,top,0.0000
"U7",28.3250,20.3600,top,180.0000
"Y1",35.9000,34.0000,top,-90.0000
